# text = increase and decrease in volume or pitch, as if in waves; 
# id = 00581355-v-1
# type = def
1	increase	wf	VB	increase%1|increase%2	increase%2:30:02::	man	0:8
1	give	wf	VB	give%1|give%2	_	un	0:4
2	erotic	wf	JJ	erotic%1|erotic%3	erotic%5:00:00:sexy:00	man	5:11
3	character	wf	NN	character%1|character%2	_	un	12:21
4	to	wf	TO	to	_	ignore	22:24
5	or	wf	CC	or	_	ignore	25:27
6	make	wf	VB	make%1|make%2	_	un	28:32
7	more	wf	RBR	many%3|more%3|much%3|more%4|much%4	_	un	33:37
8	interesting	wf	JJ	interest%2|interesting%3	_	un	38:49
9	;	wf	punc	_	_	ignore	49:50

# text = eroticize the ads
# id = 00586241-v-2
# type = ex
1	eroticize	wf	_	eroticize%2	eroticize%2:30:00::	auto	0:9
2	the	wf	_	the	_	ignore	10:13
3	ads	wf	_	ad%1	_	un	14:17

# text = make into or use as a weapon or a potential weapon; 
# id = 00584954-v-1
# type = def
1	make	wf	VB	make%1|make%2	make%2:30:15::	man	0:4
2	into	wf	IN	into	_	ignore	5:9
3	or	wf	CC	or	_	ignore	10:12
4	use	wf	VB	use%1|use%2	_	un	13:16
5	as	wf	IN	as	_	ignore	17:19
6	a	wf	DT	a	_	ignore	20:21
7	weapon	wf	NN	weapon%1	weapon%1:06:00::	man	22:28
8	or	wf	CC	or	_	ignore	29:31
9	a	wf	DT	a	_	ignore	32:33
10	potential	wf	JJ	potential%1|potential%3	potential%3:00:00::	man	34:43
11	weapon	wf	NN	weapon%1	weapon%1:06:00::	man	44:50
12	;	wf	punc	_	_	ignore	50:51

# text = Will modern physicists weaponize String Theory?
# id = 00584954-v-2
# type = ex
1	Will	wf	_	will%1|will%2	_	un	0:4
2	modern	wf	_	modern%1|modern%3	_	un	5:11
3	physicists	wf	_	physicist%1	_	un	12:22
4	weaponize	wf	_	weaponize%2	weaponize%2:30:00::	auto	23:32
5	String	wf	_	String	_	un	33:39
6	Theory	wf	_	Theory	_	un	40:46
7	?	wf	punc	_	_	ignore	46:47

# text = take off or away; 
# id = 00586973-v-1
# type = def
1	take	wf	VB	take%1|take%2	_	un	0:4
2	off	wf	RB	off%2|off%3|off%4	_	un	5:8
3	or	wf	CC	or	_	ignore	9:11
4	away	wf	RB	away%3|away%4	_	un	12:16
5	;	wf	punc	_	_	ignore	16:17

# text = this prefix was subtracted when the word was borrowed from French
# id = 00586973-v-2
# type = ex
1	this	wf	_	this	_	ignore	0:4
2	prefix	wf	_	prefix%1|prefix%2	_	un	5:11
3	was	wf	_	be%2	_	un	12:15
4	subtracted	wf	_	subtract%2	subtract%2:30:00::	auto	16:26
5	when	wf	_	when	_	ignore	27:31
6	the	wf	_	the	_	ignore	32:35
7	word	wf	_	word%1|word%2	_	un	36:40
8	was	wf	_	be%2	_	un	41:44
9	borrowed	wf	_	borrow%2	_	un	45:53
10	from	wf	_	from	_	ignore	54:58
11	French	wf	_	French%1|French%2|French%3	french%1:10:00::	man	59:65

# text = destress and thus weaken a sound when pronouncing it
# id = 00587522-v-1
# type = def
1	destress	wf	VB	destress%2	destress%2:30:00::	auto	0:8
2	and	wf	CC	and	_	ignore	9:12
3	thus	wf	RB	thus%1|thus%4	_	un	13:17
4	weaken	wf	VB	weaken%2	_	un	18:24
5	a	wf	DT	a	_	ignore	25:26
6	sound	wf	NN	sound%1|sound%2|sound%3	_	un	27:32
7	when	wf	WRB	when	_	ignore	33:37
8	pronouncing	wf	VBG	pronounce%2	_	un	38:49
9	it	wf	PRP	it	_	ignore	50:52

# text = become deformed by forces tending to produce a shearing strain
# id = 00587124-v-1
# type = def
1	become	wf	VB	become%2	_	un	0:6
2	deformed	wf	JJ	deform%2|deformed%3	_	un	7:15
3	by	wf	IN	by	_	ignore	16:18
4	forces	wf	NNS	force%1|force%2	_	un	19:25
5	tending	wf	JJ	tending%1|tend%2|tending%3	_	un	26:33
6	to	wf	TO	to	_	ignore	34:36
7	produce	wf	VB	produce%1|produce%2	_	un	37:44
8	a	wf	DT	a	_	ignore	45:46
9	shearing	wf	NN	shearing%1|shear%2	_	un	47:55
10	strain	wf	NN	strain%1|strain%2	_	un	56:62

# text = make one's day-to-day activities more efficient
# id = 00587849-v-1
# type = def
1	make	wf	VB	make%1|make%2	_	un	0:4
2	one's	wf	PRP$	one%1	_	un	5:10
3	day-to-day	wf	JJ	day-to-day%3	day-to-day%5:00:00:periodic:00	auto	11:21
4	activities	wf	NNS	activity%1	_	un	22:32
5	more	wf	RBR	many%3|more%3|much%3|more%4|much%4	_	un	33:37
6	efficient	wf	JJ	efficient%3	_	un	38:47

# text = make in a smaller size; 
# id = 00586816-v-1
# type = def
1	make	wf	VB	make%1|make%2	_	un	0:4
2	in	wf	IN	in	_	ignore	5:7
3	a	wf	DT	a	_	ignore	8:9
4	smaller	wf	JJR	smaller%3	smaller%5:00:00:small:00	auto	10:17
5	size	wf	NN	size%1|size%2|size%3	_	un	18:22
6	;	wf	punc	_	_	ignore	22:23

# text = the car makers downsized the SUVs when fuel became very expensive
# id = 00586816-v-2
# type = ex
1	the	wf	_	the	_	ignore	0:3
2	car	wf	_	car%1	_	un	4:7
3	makers	wf	_	maker%1	_	un	8:14
4	downsized	wf	_	downsize%2	downsize%2:30:01::	auto	15:24
5	the	wf	_	the	_	ignore	25:28
6	SUVs	wf	_	S.U.V.	s.u.v.%1:06:00::	auto	29:33
7	when	wf	_	when	_	ignore	34:38
8	fuel	wf	_	fuel%1|fuel%2	_	un	39:43
9	became	wf	_	become%2	_	un	44:50
10	very	wf	_	very%3|very%4	_	un	51:55
11	expensive	wf	_	expensive%3	_	un	56:65

# text = modify (software) for use on a different machine or platform
# id = 00587268-v-1
# type = def
1	modify	wf	VB	modify%2	_	un	0:6
2	_	aux	_	_	_	_	_
3	(	wf	punc	_	_	ignore	7:8
4	software	wf	NN	software%1	software%1:10:00::	auto	8:16
5	)	wf	punc	_	_	ignore	16:17
6	_	aux	_	_	_	_	_
7	for	wf	IN	for	_	ignore	18:21
8	use	wf	NN	use%1|use%2	_	un	22:25
9	on	wf	IN	on	_	ignore	26:28
10	a	wf	DT	a	_	ignore	29:30
11	different	wf	JJ	different%3	_	un	31:40
12	machine	wf	NN	machine%1|machine%2	_	un	41:48
13	or	wf	CC	or	_	ignore	49:51
14	platform	wf	NN	platform%1	_	un	52:60

# text = reduce a vowel to a neutral one, such as a schwa
# id = 00587390-v-1
# type = def
1	reduce	wf	VB	reduce%2	_	un	0:6
2	a	wf	DT	a	_	ignore	7:8
3	vowel	wf	NN	vowel%1	_	un	9:14
4	to	wf	TO	to	_	ignore	15:17
5	a	wf	DT	a	_	ignore	18:19
6	neutral	wf	JJ	neutral%1|neutral%3	_	un	20:27
7	one	wf	NN	one	_	ignore	28:31
8	,	wf	punc	_	_	ignore	31:32
9	such	wf	RB	such%3|such%4	_	un	33:37
10	as	wf	IN	as	_	ignore	38:40
11	a	wf	DT	a	_	ignore	41:42
12	schwa	wf	NN	schwa%1	schwa%1:10:00::	auto	43:48

# text = make less clear; 
# id = 00587962-v-1
# type = def
1	make	wf	VB	make%1|make%2	_	un	0:4
2	less	wf	RBR	less%3|little%3|less%4|little%4	_	un	5:9
3	clear	wf	JJ	clear%1|clear%2|clear%3|clear%4	_	un	10:15
4	;	wf	punc	_	_	ignore	15:16

# text = the stroke clouded memories of her youth
# id = 00587962-v-2
# type = ex
1	the	wf	_	the	_	ignore	0:3
2	stroke	wf	_	stroke%1|stroke%2	_	un	4:10
3	clouded	wf	_	cloud%2|clouded%3	cloud%2:30:04::	auto	11:18
4	memories	wf	_	memory%1	_	un	19:27
5	of	wf	_	of	_	ignore	28:30
6	her	wf	_	her	_	ignore	31:34
7	youth	wf	_	youth%1	_	un	35:40

# text = suffer or be susceptible to damage; 
# id = 00588084-v-1
# type = def
1	suffer	wf	VB	suffer%2	_	un	0:6
2	or	wf	CC	or	_	ignore	7:9
3	be	wf	VB	be%2	_	un	10:12
4	susceptible	wf	JJ	susceptible%3	_	un	13:24
5	to	wf	TO	to	_	ignore	25:27
6	damage	wf	NN	damage%1|damage%2	_	un	28:34
7	;	wf	punc	_	_	ignore	34:35

# text = These fine china cups damage easily
# id = 00588084-v-2
# type = ex
1	These	wf	_	these	_	ignore	0:5
2	fine	wf	_	fine%1|fine%2|fine%3|fine%4	_	un	6:10
3	china	wf	_	china%1	_	un	11:16
4	cups	wf	_	cup%1|cup%2	_	un	17:21
5	damage	wf	_	damage%1|damage%2	damage%2:30:01::	auto	22:28
6	easily	wf	_	easily%4	_	un	29:35

# text = comprehend; 
# id = 00589309-v-1
# type = def
1	comprehend	wf	VB	comprehend%2	comprehend%2:31:00::|comprehend%2:39:00::	man	0:10
2	;	wf	punc	_	_	ignore	10:11

# text = I sensed the real meaning of his letter
# id = 00589309-v-2
# type = ex
1	I	wf	_	I	_	ignore	0:1
2	sensed	wf	_	sense%2|sensed%3	sense%2:31:02::	auto	2:8
3	the	wf	_	the	_	ignore	9:12
4	real	wf	_	real%1|real%3|real%4	_	un	13:17
5	meaning	wf	_	meaning%1|mean%2|meaning%3	_	un	18:25
6	of	wf	_	of	_	ignore	26:28
7	his	wf	_	his	_	ignore	29:32
8	letter	wf	_	letter%1|letter%2	_	un	33:39

# text = understand; 
# id = 00590241-v-1
# type = def
1	understand	wf	VB	understand%2	understand%2:31:00::	man	0:10
2	;	wf	punc	_	_	ignore	10:11

# text = He didn't figure her
# id = 00590241-v-2
# type = ex
1	He	wf	_	he	_	ignore	0:2
2	did	wf	_	do%2	_	un	3:6
3	n't	wf	_	not%4	_	un	6:9
4	figure	wf	_	figure%1|figure%2	figure%2:31:02::	auto	10:16
5	her	wf	_	her	_	ignore	17:20

# text = know or grasp by intuition or feeling
# id = 00590761-v-1
# type = def
1	know	wf	VB	know%1|know%2	know%2:31:01::	man	0:4
2	or	wf	CC	or	_	ignore	5:7
3	grasp	wf	VB	grasp%1|grasp%2	grasp%2:31:00::	man	8:13
4	by	wf	IN	by	_	ignore	14:16
5	intuition	wf	NN	intuition%1	_	un	17:26
6	or	wf	CC	or	_	ignore	27:29
7	feeling	wf	NN	feeling%1|feel%2	_	un	30:37

# text = get the meaning of something; 
# id = 00588221-v-1
# type = def
1	get	wf	VB	get%1|get%2	_	un	0:3
2	the	wf	DT	the	_	ignore	4:7
3	meaning	wf	NN	meaning%1|mean%2|meaning%3	meaning%1:09:00::|meaning%1:10:00::	man	8:15
4	of	wf	IN	of	_	ignore	16:18
5	something	wf	PRP	something	_	ignore	19:28
6	;	wf	punc	_	_	ignore	28:29

# text = Do you comprehend the meaning of this letter?
# id = 00588221-v-2
# type = ex
1	Do	wf	_	do%1|do%2	_	un	0:2
2	you	wf	_	you	_	ignore	3:6
3	comprehend	wf	_	comprehend%2	comprehend%2:31:00::	auto	7:17
4	the	wf	_	the	_	ignore	18:21
5	meaning	wf	_	meaning%1|mean%2|meaning%3	_	un	22:29
6	of	wf	_	of	_	ignore	30:32
7	this	wf	_	this	_	ignore	33:37
8	letter	wf	_	letter%1|letter%2	_	un	38:44
9	?	wf	punc	_	_	ignore	44:45

# text = remove from a larger whole; 
# id = 00587675-v-1
# type = def
1	remove	wf	VB	remove%1|remove%2	_	un	0:6
2	from	wf	IN	from	_	ignore	7:11
3	a	wf	DT	a	_	ignore	12:13
4	larger	wf	JJR	large%3|larger%3|large%4	_	un	14:20
5	whole	wf	NN	whole%1|whole%3|whole%4	_	un	21:26
6	;	wf	punc	_	_	ignore	26:27

# text = the new start-up company carved out a large chunk of the market within a year
# id = 00587675-v-2
# type = ex
1	the	wf	_	the	_	ignore	0:3
2	new	wf	_	new%3|new%4	_	un	4:7
3	start	wf	_	start%1|start%2	_	un	8:13
4	up	wf	_	up%2|up%3|up%4	_	un	14:16
5	company	wf	_	company%1|company%2	company%1:14:01::	man	17:24
6	_	glob|a	_	carve_out%2	carve_out%2:30:00::	auto	_
7	carved	cf|a	_	carve%2|carved%3	_	un	25:31
8	out	cf|a	_	out%1|out%2|out%3|out%4	_	un	32:35
9	a	wf	_	a	_	ignore	36:37
10	large	wf	_	large%1|large%3|large%4	_	un	38:43
11	chunk	wf	_	chunk%1|chunk%2	_	un	44:49
12	of	wf	_	of	_	ignore	50:52
13	the	wf	_	the	_	ignore	53:56
14	market	wf	_	market%1|market%2	_	un	57:63
15	within	wf	_	within%4	_	un	64:70
16	a	wf	_	a	_	ignore	71:72
17	year	wf	_	year%1	_	un	73:77

# text = know and comprehend the nature or meaning of; 
# id = 00588888-v-1
# type = def
1	know	wf	VB	know%1|know%2	know%2:31:01::	man	0:4
2	and	wf	CC	and	_	ignore	5:8
3	comprehend	wf	VB	comprehend%2	comprehend%2:39:00::	man	9:19
4	the	wf	DT	the	_	ignore	20:23
5	nature	wf	NN	nature%1	_	un	24:30
6	or	wf	CC	or	_	ignore	31:33
7	meaning	wf	NN	meaning%1|mean%2|meaning%3	meaning%1:10:00::|meaning%1:09:00::	man	34:41
8	of	wf	IN	of	_	ignore	42:44
9	;	wf	punc	_	_	ignore	44:45

# text = She did not understand her husband
# id = 00588888-v-2
# type = ex
1	She	wf	_	she	_	ignore	0:3
2	did	wf	_	do%2	_	un	4:7
3	not	wf	_	not%4	_	un	8:11
4	understand	wf	_	understand%2	understand%2:31:00::	auto	12:22
5	her	wf	_	her	_	ignore	23:26
6	husband	wf	_	husband%1|husband%2	_	un	27:34

# text = I understand what she means
# id = 00588888-v-3
# type = ex
1	I	wf	_	I	_	ignore	0:1
2	understand	wf	_	understand%2	understand%2:31:00::	auto	2:12
3	what	wf	_	what	_	ignore	13:17
4	she	wf	_	she	_	ignore	18:21
5	means	wf	_	mean%1|means%1|mean%2	_	un	22:27

# text = be received or understood
# id = 00592037-v-1
# type = def
1	be	wf	VB	be%2	_	un	0:2
2	received	wf	VBN	receive%2|received%3	_	un	3:11
3	or	wf	CC	or	_	ignore	12:14
4	understood	wf	VBD	understand%2|understood%3	understand%2:31:00::	man	15:25

# text = comprehend; 
# id = 00590642-v-1
# type = def
1	comprehend	wf	VB	comprehend%2	comprehend%2:31:00::|comprehend%2:39:00::	man	0:10
2	;	wf	punc	_	_	ignore	10:11

# text = He could not touch the meaning of the poem
# id = 00590642-v-2
# type = ex
1	He	wf	_	he	_	ignore	0:2
2	could	wf	_	could	_	ignore	3:8
3	not	wf	_	not%4	_	un	9:12
4	touch	wf	_	touch%1|touch%2	touch%2:31:00::	auto	13:18
5	the	wf	_	the	_	ignore	19:22
6	meaning	wf	_	meaning%1|mean%2|meaning%3	_	un	23:30
7	of	wf	_	of	_	ignore	31:33
8	the	wf	_	the	_	ignore	34:37
9	poem	wf	_	poem%1	_	un	38:42

# text = arrange and integrate in the mind; 
# id = 00590924-v-1
# type = def
1	arrange	wf	VB	arrange%2	_	un	0:7
2	and	wf	CC	and	_	ignore	8:11
3	integrate	wf	VB	integrate%2	integrate%2:30:00::	man	12:21
4	in	wf	IN	in	_	ignore	22:24
5	the	wf	DT	the	_	ignore	25:28
6	mind	wf	NN	mind%1|mind%2	mind%1:09:00::	man	29:33
7	;	wf	punc	_	_	ignore	33:34

# text = I cannot digest all this information
# id = 00590924-v-2
# type = ex
1	I	wf	_	I	_	ignore	0:1
2	can	wf	_	can%1|can%2	_	ignore	2:5
3	not	wf	_	not%4	_	ignore	5:8
4	digest	wf	_	digest%1|digest%2	digest%2:31:00::	auto	9:15
5	all	wf	_	all%3|all%4	_	un	16:19
6	this	wf	_	this	_	ignore	20:24
7	information	wf	_	information%1	_	un	25:36

# text = grasp the meaning; 
# id = 00589738-v-1
# type = def
1	grasp	wf	VB	grasp%1|grasp%2	grasp%2:31:00::	man	0:5
2	the	wf	DT	the	_	ignore	6:9
3	meaning	wf	NN	meaning%1|mean%2|meaning%3	meaning%1:10:00::|meaning%1:09:00::	man	10:17
4	;	wf	punc	_	_	ignore	17:18

# text = Can you follow her argument?
# id = 00589738-v-2
# type = ex
1	Can	wf	_	can%1|can%2	_	un	0:3
2	you	wf	_	you	_	ignore	4:7
3	follow	wf	_	follow%2	follow%2:31:14::	auto	8:14
4	her	wf	_	her	_	ignore	15:18
5	argument	wf	_	argument%1	_	un	19:27
6	?	wf	punc	_	_	ignore	27:28

# text = When he lectures, I cannot follow
# id = 00589738-v-3
# type = ex
1	When	wf	_	when	_	ignore	0:4
2	he	wf	_	he	_	ignore	5:7
3	lectures	wf	_	lecture%1|lecture%2	_	un	8:16
4	,	wf	punc	_	_	ignore	16:17
5	I	wf	_	I	_	ignore	18:19
6	can	wf	_	can%1|can%2	_	ignore	20:23
7	not	wf	_	not%4	_	ignore	23:26
8	follow	wf	_	follow%2	follow%2:31:14::	auto	27:33

# text = create an emotional response; 
# id = 00592186-v-1
# type = def
1	create	wf	VB	create%2	create%2:36:00::	man	0:6
2	an	wf	DT	an	_	ignore	7:9
3	emotional	wf	JJ	emotional%3	emotional%3:00:00::	man	10:19
4	response	wf	NN	response%1	response%1:19:00::	man	20:28
5	;	wf	punc	_	_	ignore	28:29

# text = The music struck a chord with the listeners
# id = 00592186-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	music	wf	_	music%1	_	un	4:9
3	_	glob|a	_	strike_a_chord%2	strike_a_chord%2:31:00::	auto	_
4	struck	cf|a	_	strike%2|struck%3	_	un	10:16
5	a	cf|a	_	a	_	ignore	17:18
6	chord	cf|a	_	chord%1|chord%2	_	un	19:24
7	with	wf	_	with	_	ignore	25:29
8	the	wf	_	the	_	ignore	30:33
9	listeners	wf	_	listener%1	_	un	34:43

# text = become conscious of; 
# id = 00591519-v-1
# type = def
1	become	wf	VB	become%2	_	un	0:6
2	conscious	wf	JJ	conscious%3	conscious%5:00:00:aware:00	man	7:16
3	of	wf	IN	of	_	ignore	17:19
4	;	wf	punc	_	_	ignore	19:20

# text = She finally perceived the futility of her protest
# id = 00591519-v-2
# type = ex
1	She	wf	_	she	_	ignore	0:3
2	finally	wf	_	finally%4	_	un	4:11
3	perceived	wf	_	perceive%2|perceived%3	perceive%2:31:00::	auto	12:21
4	the	wf	_	the	_	ignore	22:25
5	futility	wf	_	futility%1	_	un	26:34
6	of	wf	_	of	_	ignore	35:37
7	her	wf	_	her	_	ignore	38:41
8	protest	wf	_	protest%1|protest%2	_	un	42:49

# text = be fully aware of; realize fully; 
# id = 00592341-v-1
# type = def
1	be	wf	VB	be%2	_	un	0:2
2	fully	wf	RB	fully%4	fully%4:02:04::	man	3:8
3	aware	wf	JJ	aware%3	_	un	9:14
4	of	wf	IN	of	_	ignore	15:17
5	;	wf	punc	_	_	ignore	17:18
6	realize	wf	VB	realize%2	realize%2:31:01::	man	19:26
7	fully	wf	RB	fully%4	fully%4:02:04::	man	27:32
8	;	wf	punc	_	_	ignore	32:33

# text = Do you appreciate the full meaning of this letter?
# id = 00592341-v-2
# type = ex
1	Do	wf	_	do%1|do%2	_	un	0:2
2	you	wf	_	you	_	ignore	3:6
3	appreciate	wf	_	appreciate%2	appreciate%2:31:00::	auto	7:17
4	the	wf	_	the	_	ignore	18:21
5	full	wf	_	full%1|full%2|full%3|full%4	_	un	22:26
6	meaning	wf	_	meaning%1|mean%2|meaning%3	_	un	27:34
7	of	wf	_	of	_	ignore	35:37
8	this	wf	_	this	_	ignore	38:42
9	letter	wf	_	letter%1|letter%2	_	un	43:49
10	?	wf	punc	_	_	ignore	49:50

# text = understand, usually after some initial difficulty; 
# id = 00590366-v-1
# type = def
1	understand	wf	VB	understand%2	understand%2:31:00::	man	0:10
2	,	wf	punc	_	_	ignore	10:11
3	usually	wf	RB	usually%4	usually%4:02:00::	auto	12:19
4	after	wf	IN	after%3|after%4	_	un	20:25
5	some	wf	DT	some	_	ignore	26:30
6	initial	wf	JJ	initial%1|initial%2|initial%3	initial%5:00:00:first:00	man	31:38
7	difficulty	wf	NN	difficulty%1	_	un	39:49
8	;	wf	punc	_	_	ignore	49:50

# text = She didn't know what her classmates were plotting but finally caught on
# id = 00590366-v-2
# type = ex
1	She	wf	_	she	_	ignore	0:3
2	did	wf	_	do%2	_	un	4:7
3	n't	wf	_	not%4	_	un	7:10
4	know	wf	_	know%1|know%2	_	un	11:15
5	what	wf	_	what	_	ignore	16:20
6	her	wf	_	her	_	ignore	21:24
7	classmates	wf	_	classmate%1	_	un	25:35
8	were	wf	_	be%2	_	un	36:40
9	plotting	wf	_	plot%2	_	un	41:49
10	but	wf	_	but	_	ignore	50:53
11	finally	wf	_	finally%4	_	un	54:61
12	_	glob|a	_	catch_on%2	catch_on%2:31:00::	auto	_
13	caught	cf|a	_	catch%2	_	un	62:68
14	on	cf|a	_	on	_	ignore	69:71

# text = become aware of not through the senses but instinctively; 
# id = 00589469-v-1
# type = def
1	become	wf	VB	become%2	_	un	0:6
2	aware	wf	JJ	aware%3	_	un	7:12
3	of	wf	IN	of	_	ignore	13:15
4	not	wf	RB	not%4	not%4:02:00::	auto	16:19
5	through	wf	IN	through%3|through%4	_	un	20:27
6	the	wf	DT	the	_	ignore	28:31
7	senses	wf	NNS	sens%1|sense%1|sense%2	_	un	32:38
8	but	wf	CC	but	_	ignore	39:42
9	instinctively	wf	RB	instinctively%4	instinctively%4:02:00::	auto	43:56
10	;	wf	punc	_	_	ignore	56:57

# text = I sense his hostility
# id = 00589469-v-2
# type = ex
1	I	wf	_	I	_	ignore	0:1
2	sense	wf	_	sense%1|sense%2	sense%2:31:03::	auto	2:7
3	his	wf	_	his	_	ignore	8:11
4	hostility	wf	_	hostility%1	_	un	12:21

# text = i smell trouble
# id = 00589469-v-3
# type = ex
1	i	wf	_	i%1|i%3	_	un	0:1
2	smell	wf	_	smell%1|smell%2	smell%2:31:00::	auto	2:7
3	trouble	wf	_	trouble%1|trouble%2	_	un	8:15

# text = smell out corruption
# id = 00589469-v-4
# type = ex
1	_	glob|a	_	smell_out%2	smell_out%2:31:00::	auto	_
2	smell	cf|a	_	smell%1|smell%2	_	un	0:5
3	out	cf|a	_	out%1|out%2|out%3|out%4	_	un	6:9
4	corruption	wf	_	corruption%1	_	un	10:20

# text = consider reasonable or due; 
# id = 00592702-v-1
# type = def
1	consider	wf	VB	consider%2	_	un	0:8
2	reasonable	wf	JJ	reasonable%3	reasonable%5:00:00:moderate:00	man	9:19
3	or	wf	CC	or	_	ignore	20:22
4	due	wf	JJ	due%1|due%3|due%4	_	un	23:26
5	;	wf	punc	_	_	ignore	26:27

# text = I'm expecting a full explanation as to why these files were destroyed
# id = 00592702-v-2
# type = ex
1	I	wf	_	I	_	ignore	0:1
2	'm	wf	_	be%2	_	un	1:3
3	expecting	wf	_	expect%2	expect%2:31:05::	auto	4:13
4	a	wf	_	a	_	ignore	14:15
5	full	wf	_	full%1|full%2|full%3|full%4	_	un	16:20
6	explanation	wf	_	explanation%1	_	un	21:32
7	as	wf	_	as	_	ignore	33:35
8	to	wf	_	to	_	ignore	36:38
9	why	wf	_	why%1	_	un	39:42
10	these	wf	_	these	_	ignore	43:48
11	files	wf	_	file%1|file%2	_	un	49:54
12	were	wf	_	be%2	_	un	55:59
13	destroyed	wf	_	destroy%2|destroyed%3	_	un	60:69

# text = to try to avoid detection especially by police; 
# id = 00588703-v-1
# type = def
1	to	wf	TO	to	_	ignore	0:2
2	try	wf	VB	try%1|try%2	try%2:41:00::	man	3:6
3	to	wf	TO	to	_	ignore	7:9
4	avoid	wf	VB	avoid%2	avoid%2:41:01::	man	10:15
5	detection	wf	NN	detection%1	_	un	16:25
6	especially	wf	RB	especially%4	especially%4:02:01::	man	26:36
7	by	wf	IN	by	_	ignore	37:39
8	police	wf	NN	police%1|police%2	police%1:14:00::	man	40:46
9	;	wf	punc	_	_	ignore	46:47

# text = After we knock off that liquor store we'll have to lay low for a while
# id = 00588703-v-2
# type = ex
1	After	wf	_	after%3|after%4	_	un	0:5
2	we	wf	_	we	_	ignore	6:8
3	knock	wf	_	knock%1|knock%2	_	un	9:14
4	off	wf	_	off%2|off%3|off%4	_	un	15:18
5	that	wf	_	that	_	ignore	19:23
6	liquor	wf	_	liquor%1	_	un	24:30
7	store	wf	_	store%1|store%2	_	un	31:36
8	we	wf	_	we	_	ignore	37:39
9	'll	wf	_	will%1|will%2	_	un	39:42
10	have	wf	_	have%1|have%2	_	un	43:47
11	to	wf	_	to	_	ignore	48:50
12	_	glob|a	_	lie_low%2	lie_low%2:31:00::	auto	_
13	lay	cf|a	_	lay%1|lay%2|lie%2|lay%3	_	un	51:54
14	low	cf|a	_	low%1|low%2|low%3|low%4	_	un	55:58
15	for	wf	_	for	_	ignore	59:62
16	a	wf	_	a	_	ignore	63:64
17	while	wf	_	while%1	_	un	65:70

# text = show due and full appreciation; 
# id = 00592544-v-1
# type = def
1	show	wf	VB	show%1|show%2	show%2:32:02::	man	0:4
2	due	wf	JJ	due%1|due%3|due%4	_	un	5:8
3	and	wf	CC	and	_	ignore	9:12
4	full	wf	JJ	full%1|full%2|full%3|full%4	_	un	13:17
5	appreciation	wf	NN	appreciation%1	_	un	18:30
6	;	wf	punc	_	_	ignore	30:31

# text = The diners did the food and wine justice
# id = 00592544-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	diners	wf	_	diner%1	_	un	4:10
3	did	wf	_	do%2	_	un	11:14
4	the	wf	_	the	_	ignore	15:18
5	food	wf	_	food%1	_	un	19:23
6	and	wf	_	and	_	ignore	24:27
7	wine	wf	_	wine%1|wine%2	_	un	28:32
8	justice	wf	_	justice%1	_	un	33:40

# text = acknowledge a new land owner as one's landlord; 
# id = 00593200-v-1
# type = def
1	acknowledge	wf	VB	acknowledge%2	_	un	0:11
2	a	wf	DT	a	_	ignore	12:13
3	new	wf	JJ	new%3|new%4	_	un	14:17
4	land	wf	NN	landowner%1	landowner%1:18:00::	man	18:22
5	owner	wf	NN	owner%1	_	un	23:28
6	as	wf	IN	as	_	ignore	29:31
7	one's	wf	PRP$	one%1	_	un	32:37
8	landlord	wf	NN	landlord%1	landlord%1:18:00::	auto	38:46
9	;	wf	punc	_	_	ignore	46:47

# text = he was attorned by the tenants
# id = 00593200-v-2
# type = ex
1	he	wf	_	he	_	ignore	0:2
2	was	wf	_	be%2	_	un	3:6
3	attorned	wf	_	attorn%2	attorn%2:31:00::	auto	7:15
4	by	wf	_	by	_	ignore	16:18
5	the	wf	_	the	_	ignore	19:22
6	tenants	wf	_	tenant%1|tenant%2	_	un	23:30

# text = concede the loss or worthlessness of something or somebody; 
# id = 00593363-v-1
# type = def
1	concede	wf	VB	concede%2	concede%2:32:01::	man	0:7
2	the	wf	DT	the	_	ignore	8:11
3	loss	wf	NN	loss%1	_	un	12:16
4	or	wf	CC	or	_	ignore	17:19
5	worthlessness	wf	NN	worthlessness%1	worthlessness%1:07:01::	man	20:33
6	of	wf	IN	of	_	ignore	34:36
7	something	wf	PRP	something	_	ignore	37:46
8	or	wf	CC	or	_	ignore	47:49
9	somebody	wf	NN	somebody%1	somebody%1:03:00::	auto	50:58
10	;	wf	punc	_	_	ignore	58:59

# text = write it off as a loss
# id = 00593363-v-2
# type = ex
1	write	wf	_	write%2	_	un	0:5
2	it	wf	_	it	_	ignore	6:8
3	off	wf	_	off%2|off%3|off%4	_	un	9:12
4	as	wf	_	as	_	ignore	13:15
5	a	wf	_	a	_	ignore	16:17
6	loss	wf	_	loss%1	_	un	18:22

# text = gain knowledge of (an area not known or experienced) by extrapolating
# id = 00593669-v-1
# type = def
1	gain	wf	VB	gain%1|gain%2	gain%2:40:01::	man	0:4
2	knowledge	wf	NN	knowledge%1	knowledge%1:03:00::	auto	5:14
3	of	wf	IN	of	_	ignore	15:17
4	_	aux	_	_	_	_	_
5	(	wf	punc	_	_	ignore	18:19
